M_X,alpha,mean,rms
350,0.022000000000000002,343.33636154496827,7.895374413899128
350,0.013,344.3195922847888,7.171630574713356
350,0.009,344.70004723484004,7.165683337523926
340,0.013,334.37944861441656,7.072146234494743
350,0.011000000000000001,344.31959218679316,7.1716305873972255
350,0.028,343.0377832270407,8.104290232141532
330,0.024,323.76363807335235,7.120547814951166
330,0.029,323.2774176880834,7.525917490046911
350,0.03,343.05586130446954,8.144265352233692
330,0.027,323.2774177551913,7.525917420993197
350,0.006,344.70004729934794,7.165683289689954
310,0.012,304.8565356462114,6.4144864673173725
290,0.016999999999999998,284.6087065365944,6.088595868103714
360,0.006,354.5572296613757,7.301252483186571
330,0.011,324.52745581227015,6.805074225753544
360,0.009000000000000001,354.5572298092717,7.30125238364961
300,0.022,294.35170936949606,6.204363864337923
360,0.013,354.1170496725123,7.480444774238327
300,0.009000000000000001,295.48388801412636,5.9657323298377865
300,0.007,295.48388801798745,5.965732297593335
350,0.012,344.3195922837967,7.17163055810319
340,0.013999999999999999,334.3794486199027,7.07214621122286
360,0.008,354.5572297123424,7.301252410763349
300,0.024,294.351709375275,6.204363845056124
320,0.02,314.1517878655291,6.882453948460713
290,0.019,284.60870656231384,6.0885957812249965
330,0.009000000000000001,324.95069571666653,6.716295444291661
280,0.028,274.2679168843891,6.0198421200022265
290,0.013,285.2164090302729,5.7530192985685185
340,0.018,333.80389639121495,7.649373052798388
360,0.016,353.7967258613441,7.998801264307405
270,0.02,265.2040693022989,5.396189455564435
350,0.007,344.70004730742176,7.165683336184627
350,0.025,343.3055167227717,7.832859660208795
360,0.01,354.5619389687791,7.205594677939361
280,0.023000000000000003,274.85431107724116,5.587795088501616
350,0.016,343.9262876084001,7.802643658032842
330,0.025,323.77491930432,7.018414313837323
310,0.026999999999999996,303.5338439752479,6.9938825524739885
310,0.01,305.3102061424583,6.32263289579534
340,0.027999999999999997,333.1365668055301,7.770335182373482
280,0.009,275.85347386040416,5.345715867346404
340,0.026,333.13656689052107,7.7703351314655125
320,0.005,314.9399220886451,6.362103470599191
290,0.027999999999999997,284.03379468406047,6.250466623733726
270,0.015,265.74313075866877,5.115516062886004
310,0.005,305.1462122481825,6.05909447429523
300,0.016999999999999998,294.3792635342599,6.380210448772403
320,0.013000000000000001,314.7202582893703,6.6153775251121605
310,0.022000000000000002,304.13445899200593,6.574126038424017
350,0.018,343.92628772208786,7.802643535861481
270,0.03,264.65159813011223,5.562042205047762
290,0.008,285.57285580157304,5.651920097435483
330,0.02,323.9668555869726,7.1856794967728215
320,0.015,314.6788538448914,6.652354274388484
280,0.018,274.88884976161216,5.687067030154609
290,0.025,284.6251730883061,5.825345490513308
320,0.03,313.3751766237719,7.296326088085419
360,0.012,354.1170497516403,7.480444702843833
360,0.017,353.79672580842123,7.998801210469074
340,0.009,334.8581120656226,6.886762040258063
310,0.013000000000000001,304.85653560435617,6.414486460031759
330,0.015000000000000001,323.9390704665951,7.281570349295095
300,0.025,294.37808825520284,6.1805899051750615
280,0.026000000000000002,274.2679168719237,6.019842049648397
320,0.023,313.8597005796245,6.980003430609404
320,0.008,315.12290508475223,6.532389004985494
280,0.012,275.50243956461156,5.407176861575815
280,0.028999999999999998,274.26791691040705,6.0198421445090675
270,0.023,265.22973637009807,5.1590617248291775
310,0.016999999999999998,304.2387987095359,6.732374264352856
290,0.02,284.6099729564223,6.072417179316803
330,0.012,324.5274557522038,6.805074273531633
350,0.029,343.037783156177,8.104290302045323
350,0.01,344.72969696561694,7.0238754864790325
340,0.020999999999999998,333.5850804708125,7.459733416847482
300,0.01,295.54568389367887,5.565196046745581
300,0.019,294.37926354932716,6.380210387330222
320,0.017,314.1701232534837,7.031301319353919
310,0.028,303.53384387842357,6.993882579413378
340,0.015,334.36576363841783,7.044773407575045
280,0.02,274.9365448426433,5.668418086729273
360,0.015000000000000001,353.79672581510414,7.998801192737638
270,0.016999999999999998,265.1467030852038,5.399396645205582
330,0.006,324.95069571737446,6.7162954056081485
340,0.011000000000000001,334.37944866192464,7.07214624312962
290,0.03,283.96570906907243,6.362014075621126
340,0.03,333.21910738675655,7.871614312593184
330,0.022,323.7636380481164,7.120547851657183
350,0.020999999999999998,343.33636155394333,7.895374410003749
280,0.006,275.8534738171547,5.345715898489321
290,0.027,284.0337946826047,6.250466665030142
